company,job_category,gender,count
MobileIron,Executives,female,3
MobileIron,Executives,male,12
MobileIron,Managers,female,15
MobileIron,Managers,male,59
MobileIron,Previous_totals,female,161
MobileIron,Previous_totals,male,396
MobileIron,Professionals,female,118
MobileIron,Professionals,male,201
MobileIron,Sales workers,female,14
MobileIron,Sales workers,male,77
MobileIron,Service workers,female,1
MobileIron,Service workers,male,1
MobileIron,Technicians,female,0
MobileIron,Technicians,male,0
MobileIron,Totals,female,156
MobileIron,Totals,male,350
MobileIron,laborers and helpers,female,0
MobileIron,laborers and helpers,male,0
MobileIron,operatives,female,0
MobileIron,operatives,male,0
NetApp,Administrative support,female,45
NetApp,Administrative support,male,46
NetApp,Craft workers,female,0
NetApp,Craft workers,male,0
NetApp,Executives,female,9
NetApp,Executives,male,27
NetApp,Managers,female,264
NetApp,Managers,male,739
NetApp,Previous_totals,female,1794
NetApp,Previous_totals,male,5745
NetApp,Professionals,female,970
NetApp,Professionals,male,2912
NetApp,Sales workers,female,74
NetApp,Sales workers,male,577
NetApp,Service workers,female,0
NetApp,Service workers,male,0
NetApp,Technicians,female,2
NetApp,Technicians,male,16
NetApp,Totals,female,1364
NetApp,Totals,male,4317
NetApp,laborers and helpers,female,0
NetApp,laborers and helpers,male,0
NetApp,operatives,female,0
NetApp,operatives,male,0
Nvidia,Administrative support,female,70
Nvidia,Administrative support,male,121
Nvidia,Craft workers,female,0
Nvidia,Craft workers,male,0
Nvidia,Executives,female,54
Nvidia,Executives,male,415
Nvidia,Managers,female,129
Nvidia,Managers,male,508
Nvidia,Previous_totals,female,743
Nvidia,Previous_totals,male,3986
Nvidia,Professionals,female,666
Nvidia,Professionals,male,3385
Nvidia,Sales workers,female,0
Nvidia,Sales workers,male,0
Nvidia,Service workers,female,0
Nvidia,Service workers,male,0
Nvidia,Technicians,female,0
Nvidia,Technicians,male,0
Nvidia,Totals,female,919
Nvidia,Totals,male,4429
Nvidia,laborers and helpers,female,0
Nvidia,laborers and helpers,male,0
Nvidia,operatives,female,0
Nvidia,operatives,male,0
PayPal,Administrative support,female,1920
PayPal,Administrative support,male,1518
PayPal,Craft workers,female,0
PayPal,Craft workers,male,0
PayPal,Executives,female,22
PayPal,Executives,male,69
PayPal,Managers,female,756
PayPal,Managers,male,1059
PayPal,Previous_totals,female,4059
PayPal,Previous_totals,male,5422
PayPal,Professionals,female,1438
PayPal,Professionals,male,2979
PayPal,Sales workers,female,251
PayPal,Sales workers,male,214
PayPal,Service workers,female,0
PayPal,Service workers,male,0
PayPal,Technicians,female,0
PayPal,Technicians,male,1
PayPal,Totals,female,4387
PayPal,Totals,male,5840
PayPal,laborers and helpers,female,0
